ID|Substrates|Products
R08364|["2'-Deoxyribonucleoside diphosphate", 'Trypanothione disulfide']|['Ribonucleoside diphosphate', 'Trypanothione']
R11893|['5-Fluorodeoxyuridine diphosphate', 'Thioredoxin disulfide']|['5-Fluorouridine diphosphate', 'Thioredoxin']
R01049|['ATP', 'D-Ribose 5-phosphate']|['AMP', '5-Phospho-alpha-D-ribose 1-diphosphate']
R03815|['Dihydrolipoylprotein', 'NAD+']|['Lipoylprotein', 'NADH']
R07618|['Enzyme N6-(dihydrolipoyl)lysine', 'NAD+']|['Enzyme N6-(lipoyl)lysine', 'NADH']
R00014|['Pyruvate', 'Thiamin diphosphate']|['2-(alpha-Hydroxyethyl)thiamine diphosphate']
R03270|['2-(alpha-Hydroxyethyl)thiamine diphosphate', 'Enzyme N6-(lipoyl)lysine']|['[Dihydrolipoyllysine-residue acetyltransferase], S-acetyldihydrolipoyllysine', 'Thiamin diphosphate']
R02569|['Acetyl-CoA', 'Enzyme N6-(dihydrolipoyl)lysine']|['CoA', '[Dihydrolipoyllysine-residue acetyltransferase] S-acetyldihydrolipoyllysine']
R01068|['D-Fructose 1,6-bisphosphate']|['Glycerone phosphate', 'D-Glyceraldehyde 3-phosphate']
R01070|['beta-D-Fructose 1,6-bisphosphate']|['Glycerone phosphate', 'D-Glyceraldehyde 3-phosphate']
R01829|['Sedoheptulose 1,7-bisphosphate']|['Glycerone phosphate', 'D-Erythrose 4-phosphate']
R02568|['D-Fructose 1-phosphate']|['Glycerone phosphate', 'D-Glyceraldehyde']
R02740|['alpha-D-Glucose 6-phosphate']|['beta-D-Fructose 6-phosphate']
R00771|['D-Glucose 6-phosphate']|['D-Fructose 6-phosphate']
R02739|['alpha-D-Glucose 6-phosphate']|['beta-D-Glucose 6-phosphate']
R03321|['beta-D-Glucose 6-phosphate']|['beta-D-Fructose 6-phosphate']
R01015|['D-Glyceraldehyde 3-phosphate']|['Glycerone phosphate']
R00959|['D-Glucose 1-phosphate']|['alpha-D-Glucose 6-phosphate']
R01518|['2-Phospho-D-glycerate']|['3-Phospho-D-glycerate']
R00658|['2-Phospho-D-glycerate']|['Phosphoenolpyruvate']
R01061|['D-Glyceraldehyde 3-phosphate', 'Orthophosphate', 'NAD+']|['3-Phospho-D-glyceroyl phosphate', 'NADH']
R01529|['D-Ribulose 5-phosphate']|['D-Xylulose 5-phosphate']
R01057|['alpha-D-Ribose 1-phosphate']|['D-Ribose 5-phosphate']
R02749|['2-Deoxy-D-ribose 1-phosphate']|['2-Deoxy-D-ribose 5-phosphate']
R01641|['Sedoheptulose 7-phosphate', 'D-Glyceraldehyde 3-phosphate']|['D-Ribose 5-phosphate', 'D-Xylulose 5-phosphate']
R01067|['D-Fructose 6-phosphate', 'D-Glyceraldehyde 3-phosphate']|['D-Erythrose 4-phosphate', 'D-Xylulose 5-phosphate']
R01830|['beta-D-Fructose 6-phosphate', 'D-Glyceraldehyde 3-phosphate']|['D-Erythrose 4-phosphate', 'D-Xylulose 5-phosphate']
R06590|['Aminofructose 6-phosphate', 'D-Ribose 5-phosphate']|['Iminoerythrose 4-phosphate', 'Sedoheptulose 7-phosphate']
R01056|['D-Ribose 5-phosphate']|['D-Ribulose 5-phosphate']
R09030|['D-Allose 6-phosphate']|['D-Allulose 6-phosphate']
R01066|['2-Deoxy-D-ribose 5-phosphate']|['D-Glyceraldehyde 3-phosphate', 'Acetaldehyde']
R01819|['D-Mannose 6-phosphate']|['beta-D-Fructose 6-phosphate']
R00291|['UDP-glucose']|['UDP-alpha-D-galactose']
R00505|['UDP-alpha-D-galactose']|['UDP-alpha-D-galactofuranose']
R00177|['Orthophosphate', 'Diphosphate', 'S-Adenosyl-L-methionine']|['ATP', 'L-Methionine']
R02087|['N-Acetyl-D-glucosamine 6-phosphate']|['N-Acetyl-D-mannosamine 6-phosphate']
